loss,grad_norm,learning_rate,epoch,step,eval_loss,eval_accuracy,eval_precision_macro,eval_recall_macro,eval_f1_macro,eval_runtime,eval_samples_per_second,eval_steps_per_second,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,train_loss
1.0008,3.18491792678833,1.4009433962264152e-05,0.28368794326241137,100,,,,,,,,,,,,,
,,,0.2978723404255319,105,1.1390681266784668,0.8075471698113208,0.6212721561674494,0.6914945667633839,0.6239526251932522,3.1588,838.936,26.276,,,,,
0.9574,7.006544589996338,2.8160377358490567e-05,0.5673758865248227,200,,,,,,,,,,,,,
,,,0.5957446808510638,210,1.1632996797561646,0.799622641509434,0.6462179878621926,0.678073618933834,0.6072920981544919,3.1113,851.734,26.677,,,,,
0.9618,6.603152751922607,2.9846039474840113e-05,0.851063829787234,300,,,,,,,,,,,,,
,,,0.8936170212765957,315,1.1291686296463013,0.8154716981132075,0.6132269146975029,0.7081128747795414,0.6379924193568997,3.2383,818.326,25.631,,,,,
0.9543,6.448700428009033,2.9293100896177042e-05,1.1333333333333333,400,,,,,,,,,,,,,
,,,1.1900709219858157,420,1.091260552406311,0.8067924528301886,0.6094460135403851,0.704909825339933,0.6312100037724465,3.1993,828.307,25.943,,,,,
0.9119,7.663618564605713,2.8352729009026708e-05,1.4170212765957446,500,,,,,,,,,,,,,
,,,1.4879432624113476,525,1.107163906097412,0.8373584905660377,0.6294836698619639,0.7230073391363714,0.6651666517176279,3.1231,848.528,26.577,,,,,
0.9321,4.085285186767578,2.7050413830852324e-05,1.700709219858156,600,,,,,,,,,,,,,
,,,1.7858156028368795,630,1.147486925125122,0.8173584905660377,0.6379918905528844,0.6994595209648974,0.6379048782704956,3.1595,838.732,26.27,,,,,
0.9483,17.746807098388672,2.5421456328311753e-05,1.9843971631205672,700,,,,,,,,,,,,,
,,,2.082269503546099,735,1.1229135990142822,0.8433962264150944,0.6409779933648699,0.7073277578653924,0.6649184608564557,3.1604,838.5,26.262,,,,,
0.9027,9.64578914642334,2.3510011538102674e-05,2.2666666666666666,800,,,,,,,,,,,,,
,,,2.3801418439716313,840,1.16694974899292,0.8433962264150944,0.6434523894737026,0.6798828013881777,0.6469473250082958,3.4055,778.143,24.372,,,,,
0.8935,9.85742473602295,2.1367891686588056e-05,2.550354609929078,900,,,,,,,,,,,,,
,,,2.678014184397163,945,1.1126295328140259,0.8354716981132075,0.6320547827886022,0.7029754793195654,0.6531083536848884,3.1562,839.625,26.298,,,,,
0.8943,4.2913818359375,1.9053161751219398e-05,2.8340425531914892,1000,,,,,,,,,,,,,
,,,2.975886524822695,1050,1.0995045900344849,0.8369811320754716,0.6321614951243801,0.7353587074017183,0.6705836237031745,3.241,817.644,25.609,,,,,
0.9014,4.049209117889404,1.6628565532913574e-05,3.1163120567375886,1100,,,,,,,,,,,,,
,,,3.272340425531915,1155,1.1148380041122437,0.8437735849056603,0.6403572485129901,0.712931672071457,0.6682959178219642,3.18,833.343,26.101,,,,,
0.8829,8.886117935180664,1.4159824902762601e-05,3.4,1200,,,,,,,,,,,,,
,,,3.570212765957447,1260,1.1182352304458618,0.8411320754716981,0.6411831131254391,0.7272515218751777,0.6707728912509352,3.2119,825.046,25.841,,,,,
0.8717,7.3158488273620605,1.1713858324232465e-05,3.6836879432624112,1300,,,,,,,,,,,,,
,,,3.8680851063829786,1365,1.1482422351837158,0.8471698113207548,0.6441040892393929,0.7207088809239347,0.6722107938352759,3.3323,795.241,24.908,,,,,
0.8597,7.924572944641113,9.356966940150929e-06,3.9673758865248225,1400,,,,,,,,,,,,,
,,,4.164539007092198,1470,1.1375011205673218,0.8433962264150944,0.6358205439173115,0.7037093929567048,0.660462165116355,3.3974,780.017,24.431,,,,,
0.8459,5.955587863922119,7.153037392983666e-06,4.249645390070922,1500,,,,,,,,,,,,,
,,,4.4624113475177305,1575,1.146396517753601,0.8388679245283018,0.6326662389299391,0.7072481083233771,0.6571473914764298,3.3857,782.709,24.515,,,,,
0.8299,5.129725933074951,5.161810093319976e-06,4.533333333333333,1600,,,,,,,,,,,,,
,,,4.760283687943263,1680,1.141857624053955,0.8328301886792453,0.6392001081273361,0.700773738408147,0.649767036394731,3.3345,794.724,24.891,,,,,
0.8533,4.707608222961426,3.4372598774296635e-06,4.817021276595745,1700,,,,,,,,,,,,,
,,,5.056737588652482,1785,1.1505695581436157,0.8316981132075472,0.628865282436946,0.705410479604028,0.6514440125125103,3.3077,801.158,25.093,,,,,
0.8375,6.034754753112793,2.026132948298903e-06,5.099290780141844,1800,,,,,,,,,,,,,
,,,5.3546099290780145,1890,1.1557223796844482,0.8347169811320755,0.6355323358575219,0.7076748022984582,0.6541543784176743,3.2618,812.432,25.446,,,,,
,,,5.3546099290780145,1890,,,,,,,,,693.0361,195.289,3.056,1050607251947358.0,0.8981801472012959
,,,5.3546099290780145,1890,1.1384352445602417,0.8471698113207548,0.6441040892393929,0.7207088809239347,0.6722107938352759,3.3804,783.934,24.553,,,,,
